project_id,ICR_outratingind,ICR_completion_riskdo,ICR_overallrating,ICR_bankqualityentry,ICR_banksupervision,ICR_borroverall,ICR_borrgovt,ICR_borrimplegency,IEG_outcome,IEG_evaluation_riskdo,IEG_bankqualityatentry,IEG_bankqualityofsupervision,IEG_overallbankperf,IEG_overallborrowperf,IEG_borrowcompliance,IEG_borrowimplementation,IEG_icrquality,IEG_mequality
P173801,,,,,,,,,,,,,,,,,,
P170945,,NIL,,,,,,,,NIL,,,,,,,,NIL
P164785,,NIL,,,,,,,,NIL,,,,,,,,NIL
P173867,,,,,,,,,,,,,,,,,,
P168218,,NIL,,,,,,,,NIL,,,,,,,,NIL
P171796,,NIL,,,,,,,,NIL,,,,,,,,NIL
P165838,,NIL,,,,,,,,NIL,,,,,,,,NIL
P169959,,NIL,,,,,,,,NIL,,,,,,,,NIL
P166239,,NIL,,,,,,,,NIL,,,,,,,,NIL
P168475,,NIL,,,,,,,,NIL,,,,,,,,NIL
P171465,,NIL,,,,,,,,NIL,,,,,,,,NIL
P173857,,,,,,,,,,,,,,,,,,
P166936,,NIL,,,,,,,,NIL,,,,,,,,NIL
P169505,,NIL,,,,,,,,NIL,,,,,,,,NIL
P170343,,NIL,,,,,,,,NIL,,,,,,,,NIL
P170477,,NIL,,,,,,,,NIL,,,,,,,,NIL
P165542,,NIL,,,,,,,,NIL,,,,,,,,NIL
P166165,,NIL,,,,,,,,NIL,,,,,,,,NIL
P170669,,NIL,,,,,,,,NIL,,,,,,,,NIL
P172352,,NIL,,,,,,,,NIL,,,,,,,,NIL
P167748,,NIL,,,,,,,,NIL,,,,,,,,NIL
P169758,,NIL,,,,,,,,NIL,,,,,,,,NIL
P169079,,NIL,,,,,,,,NIL,,,,,,,,NIL
P168025,,NIL,,,,,,,,NIL,,,,,,,,NIL
P170940,,NIL,,,,,,,,NIL,,,,,,,,NIL
P171125,,NIL,,,,,,,,NIL,,,,,,,,NIL
P171316,,NIL,,,,,,,,NIL,,,,,,,,NIL
P171380,,NIL,,,,,,,,NIL,,,,,,,,NIL
P168153,,NIL,,,,,,,,NIL,,,,,,,,NIL
P165861,,NIL,,,,,,,,NIL,,,,,,,,NIL
P170565,,NIL,,,,,,,,NIL,,,,,,,,NIL
P173081,,NIL,,,,,,,,NIL,,,,,,,,NIL
P169405,,NIL,,,,,,,,NIL,,,,,,,,NIL
P170595,,NIL,,,,,,,,NIL,,,,,,,,NIL
P168142,,NIL,,,,,,,,NIL,,,,,,,,NIL
P169161,,NIL,,,,,,,,NIL,,,,,,,,NIL
P169866,,NIL,,,,,,,,NIL,,,,,,,,NIL
P171361,,NIL,,,,,,,,NIL,,,,,,,,NIL
P172731,,NIL,,,,,,,,NIL,,,,,,,,NIL
P173527,,NIL,,,,,,,,NIL,,,,,,,,NIL
P167665,,NIL,,,,,,,,NIL,,,,,,,,NIL
P170358,,NIL,,,,,,,,NIL,,,,,,,,NIL
P168951,,NIL,,,,,,,,NIL,,,,,,,,NIL
P165129,,NIL,,,,,,,,NIL,,,,,,,,NIL
P159292,,NIL,,,,,,,,NIL,,,,,,,,NIL
P172604,,NIL,,,,,,,,NIL,,,,,,,,NIL
P168295,,NIL,,,,,,,,NIL,,,,,,,,NIL
P164389,,NIL,,,,,,,,NIL,,,,,,,,NIL
P168606,,NIL,,,,,,,,NIL,,,,,,,,NIL
P169867,,NIL,,,,,,,,NIL,,,,,,,,NIL
P167547,,NIL,,,,,,,,NIL,,,,,,,,NIL
P172543,,NIL,,,,,,,,NIL,,,,,,,,NIL
P163389,,NIL,,,,,,,,NIL,,,,,,,,NIL
P167941,,NIL,,,,,,,,NIL,,,,,,,,NIL
P170366,,NIL,,,,,,,,NIL,,,,,,,,NIL
P170445,,NIL,,,,,,,,NIL,,,,,,,,NIL
P158372,,NIL,,,,,,,,NIL,,,,,,,,NIL
P165821,,NIL,,,,,,,,NIL,,,,,,,,NIL
P168739,,NIL,,,,,,,,NIL,,,,,,,,NIL
P164949,,NIL,,,,,,,,NIL,,,,,,,,NIL
